ID file_name x_pos z_pos brush_orien young density root_radius radii_diff 
65 'Exp_60_10_C001H001S0001' 33.1 80.0 0.0 1600000.0 1700.0 0.001 0.0005
66 'Exp_60_10_C001H001S0001' 33.1 80.0 0.0 3800000.0 1700.0 0.001 0.0005
67 'Exp_60_10_C001H001S0001' 33.1 80.0 0.0 2700000.0 1100 0.001 0.0005
68 'Exp_60_10_C001H001S0001' 33.1 80.0 0.0 2700000.0 2300 0.001 0.0005
69 'Exp_60_10_C001H001S0001' 33.1 80.0 0.0 2700000.0 1700.0 0.0009 0.0006
70 'Exp_60_10_C001H001S0001' 33.1 80.0 0.0 2700000.0 1700.0 0.0011 0.0004
71 'Exp_60_16_C001H001S0001' 39.1 73.0 0.0 2700000.0 1700.0 0.001 0.0005
72 'Exp_60_16_C001H001S0001' 39.1 73.0 0.0 1600000.0 1700.0 0.001 0.0005
73 'Exp_60_16_C001H001S0001' 39.1 73.0 0.0 3800000.0 1700.0 0.001 0.0005
74 'Exp_60_16_C001H001S0001' 39.1 73.0 0.0 2700000.0 1100 0.001 0.0005
75 'Exp_60_16_C001H001S0001' 39.1 73.0 0.0 2700000.0 2300 0.001 0.0005
76 'Exp_60_16_C001H001S0001' 39.1 73.0 0.0 2700000.0 1700.0 0.0009 0.0006
77 'Exp_60_16_C001H001S0001' 39.1 73.0 0.0 2700000.0 1700.0 0.0011 0.0004
78 'Exp_60_17_C001H001S0001' 39.1 73.0 0.0 2700000.0 1700.0 0.001 0.0005
79 'Exp_60_17_C001H001S0001' 39.1 73.0 0.0 1600000.0 1700.0 0.001 0.0005
80 'Exp_60_17_C001H001S0001' 39.1 73.0 0.0 3800000.0 1700.0 0.001 0.0005
81 'Exp_60_17_C001H001S0001' 39.1 73.0 0.0 2700000.0 1100 0.001 0.0005
82 'Exp_60_17_C001H001S0001' 39.1 73.0 0.0 2700000.0 2300 0.001 0.0005
83 'Exp_60_17_C001H001S0001' 39.1 73.0 0.0 2700000.0 1700.0 0.0009 0.0006
84 'Exp_60_17_C001H001S0001' 39.1 73.0 0.0 2700000.0 1700.0 0.0011 0.0004
85 'Exp_60_18_C001H001S0001' 37.1 73.0 0.0 2700000.0 1700.0 0.001 0.0005
86 'Exp_60_18_C001H001S0001' 37.1 73.0 0.0 1600000.0 1700.0 0.001 0.0005
87 'Exp_60_18_C001H001S0001' 37.1 73.0 0.0 3800000.0 1700.0 0.001 0.0005
88 'Exp_60_18_C001H001S0001' 37.1 73.0 0.0 2700000.0 1100 0.001 0.0005
89 'Exp_60_18_C001H001S0001' 37.1 73.0 0.0 2700000.0 2300 0.001 0.0005
90 'Exp_60_18_C001H001S0001' 37.1 73.0 0.0 2700000.0 1700.0 0.0009 0.0006
91 'Exp_60_18_C001H001S0001' 37.1 73.0 0.0 2700000.0 1700.0 0.0011 0.0004
92 'Exp_60_19_C001H001S0001' 37.1 73.0 0.0 2700000.0 1700.0 0.001 0.0005
93 'Exp_60_19_C001H001S0001' 37.1 73.0 0.0 1600000.0 1700.0 0.001 0.0005
94 'Exp_60_19_C001H001S0001' 37.1 73.0 0.0 3800000.0 1700.0 0.001 0.0005
95 'Exp_60_19_C001H001S0001' 37.1 73.0 0.0 2700000.0 1100 0.001 0.0005
96 'Exp_60_19_C001H001S0001' 37.1 73.0 0.0 2700000.0 2300 0.001 0.0005
