ID file_name x_pos z_pos brush_orien young density root_radius radii_diff 
129 'Exp_60_24_C001H001S0001' 31.1 73.0 0.0 3800000.0 1700.0 0.001 0.0005
130 'Exp_60_24_C001H001S0001' 31.1 73.0 0.0 2700000.0 1100 0.001 0.0005
131 'Exp_60_24_C001H001S0001' 31.1 73.0 0.0 2700000.0 2300 0.001 0.0005
132 'Exp_60_24_C001H001S0001' 31.1 73.0 0.0 2700000.0 1700.0 0.0009 0.0006
133 'Exp_60_24_C001H001S0001' 31.1 73.0 0.0 2700000.0 1700.0 0.0011 0.0004
134 'Exp_60_25_C001H001S0001' 38.6 83.5 1.570796325 2700000.0 1700.0 0.001 0.0005
135 'Exp_60_25_C001H001S0001' 38.6 83.5 1.570796325 1600000.0 1700.0 0.001 0.0005
136 'Exp_60_25_C001H001S0001' 38.6 83.5 1.570796325 3800000.0 1700.0 0.001 0.0005
137 'Exp_60_25_C001H001S0001' 38.6 83.5 1.570796325 2700000.0 1100 0.001 0.0005
138 'Exp_60_25_C001H001S0001' 38.6 83.5 1.570796325 2700000.0 2300 0.001 0.0005
139 'Exp_60_25_C001H001S0001' 38.6 83.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
140 'Exp_60_25_C001H001S0001' 38.6 83.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
141 'Exp_60_26_C001H001S0001' 38.6 83.5 1.570796325 2700000.0 1700.0 0.001 0.0005
142 'Exp_60_26_C001H001S0001' 38.6 83.5 1.570796325 1600000.0 1700.0 0.001 0.0005
143 'Exp_60_26_C001H001S0001' 38.6 83.5 1.570796325 3800000.0 1700.0 0.001 0.0005
144 'Exp_60_26_C001H001S0001' 38.6 83.5 1.570796325 2700000.0 1100 0.001 0.0005
145 'Exp_60_26_C001H001S0001' 38.6 83.5 1.570796325 2700000.0 2300 0.001 0.0005
146 'Exp_60_26_C001H001S0001' 38.6 83.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
147 'Exp_60_26_C001H001S0001' 38.6 83.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
148 'Exp_60_27_C001H001S0001' 36.6 83.5 1.570796325 2700000.0 1700.0 0.001 0.0005
149 'Exp_60_27_C001H001S0001' 36.6 83.5 1.570796325 1600000.0 1700.0 0.001 0.0005
150 'Exp_60_27_C001H001S0001' 36.6 83.5 1.570796325 3800000.0 1700.0 0.001 0.0005
151 'Exp_60_27_C001H001S0001' 36.6 83.5 1.570796325 2700000.0 1100 0.001 0.0005
152 'Exp_60_27_C001H001S0001' 36.6 83.5 1.570796325 2700000.0 2300 0.001 0.0005
153 'Exp_60_27_C001H001S0001' 36.6 83.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
154 'Exp_60_27_C001H001S0001' 36.6 83.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
155 'Exp_60_28_C001H001S0001' 36.6 83.5 1.570796325 2700000.0 1700.0 0.001 0.0005
156 'Exp_60_28_C001H001S0001' 36.6 83.5 1.570796325 1600000.0 1700.0 0.001 0.0005
157 'Exp_60_28_C001H001S0001' 36.6 83.5 1.570796325 3800000.0 1700.0 0.001 0.0005
158 'Exp_60_28_C001H001S0001' 36.6 83.5 1.570796325 2700000.0 1100 0.001 0.0005
159 'Exp_60_28_C001H001S0001' 36.6 83.5 1.570796325 2700000.0 2300 0.001 0.0005
160 'Exp_60_28_C001H001S0001' 36.6 83.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
