ID file_name x_pos z_pos brush_orien young density root_radius radii_diff 
321 'Exp_60_51_C001H001S0001' 39.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
322 'Exp_60_51_C001H001S0001' 39.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
323 'Exp_60_52_C001H001S0001' 39.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
324 'Exp_60_52_C001H001S0001' 39.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
325 'Exp_60_52_C001H001S0001' 39.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
326 'Exp_60_52_C001H001S0001' 39.6 63.5 1.570796325 2700000.0 1100 0.001 0.0005
327 'Exp_60_52_C001H001S0001' 39.6 63.5 1.570796325 2700000.0 2300 0.001 0.0005
328 'Exp_60_52_C001H001S0001' 39.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
329 'Exp_60_52_C001H001S0001' 39.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
330 'Exp_60_53_C001H001S0001' 39.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
331 'Exp_60_53_C001H001S0001' 39.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
332 'Exp_60_53_C001H001S0001' 39.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
333 'Exp_60_53_C001H001S0001' 39.6 63.5 1.570796325 2700000.0 1100 0.001 0.0005
334 'Exp_60_53_C001H001S0001' 39.6 63.5 1.570796325 2700000.0 2300 0.001 0.0005
335 'Exp_60_53_C001H001S0001' 39.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
336 'Exp_60_53_C001H001S0001' 39.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
337 'Exp_60_54_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
338 'Exp_60_54_C001H001S0001' 37.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
339 'Exp_60_54_C001H001S0001' 37.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
340 'Exp_60_54_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 1100 0.001 0.0005
341 'Exp_60_54_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 2300 0.001 0.0005
342 'Exp_60_54_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
343 'Exp_60_54_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
344 'Exp_60_55_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
345 'Exp_60_55_C001H001S0001' 37.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
346 'Exp_60_55_C001H001S0001' 37.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
347 'Exp_60_55_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 1100 0.001 0.0005
348 'Exp_60_55_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 2300 0.001 0.0005
349 'Exp_60_55_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
350 'Exp_60_55_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
351 'Exp_60_56_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
352 'Exp_60_56_C001H001S0001' 37.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
