ID file_name x_pos z_pos brush_orien young density root_radius radii_diff 
385 'Exp_60_60_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
386 'Exp_60_61_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
387 'Exp_60_61_C001H001S0001' 33.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
388 'Exp_60_61_C001H001S0001' 33.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
389 'Exp_60_61_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 1100 0.001 0.0005
390 'Exp_60_61_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 2300 0.001 0.0005
391 'Exp_60_61_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
392 'Exp_60_61_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
393 'Exp_60_62_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
394 'Exp_60_62_C001H001S0001' 33.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
395 'Exp_60_62_C001H001S0001' 33.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
396 'Exp_60_62_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 1100 0.001 0.0005
397 'Exp_60_62_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 2300 0.001 0.0005
398 'Exp_60_62_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
399 'Exp_60_62_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
400 'Exp_60_63_C001H001S0001' 31.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
401 'Exp_60_63_C001H001S0001' 31.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
402 'Exp_60_63_C001H001S0001' 31.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
403 'Exp_60_63_C001H001S0001' 31.6 63.5 1.570796325 2700000.0 1100 0.001 0.0005
404 'Exp_60_63_C001H001S0001' 31.6 63.5 1.570796325 2700000.0 2300 0.001 0.0005
405 'Exp_60_63_C001H001S0001' 31.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
406 'Exp_60_63_C001H001S0001' 31.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
407 'Exp_60_64_C001H001S0001' 31.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
408 'Exp_60_64_C001H001S0001' 31.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
409 'Exp_60_64_C001H001S0001' 31.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
410 'Exp_60_64_C001H001S0001' 31.6 63.5 1.570796325 2700000.0 1100 0.001 0.0005
411 'Exp_60_64_C001H001S0001' 31.6 63.5 1.570796325 2700000.0 2300 0.001 0.0005
412 'Exp_60_64_C001H001S0001' 31.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
413 'Exp_60_64_C001H001S0001' 31.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
414 'Exp_60_65_C001H001S0001' 31.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
415 'Exp_60_65_C001H001S0001' 31.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
416 'Exp_60_65_C001H001S0001' 31.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
