ID file_name x_pos z_pos brush_orien young density root_radius radii_diff 
353 'Exp_60_56_C001H001S0001' 37.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
354 'Exp_60_56_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 1100 0.001 0.0005
355 'Exp_60_56_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 2300 0.001 0.0005
356 'Exp_60_56_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
357 'Exp_60_56_C001H001S0001' 37.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
358 'Exp_60_57_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
359 'Exp_60_57_C001H001S0001' 35.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
360 'Exp_60_57_C001H001S0001' 35.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
361 'Exp_60_57_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 1100 0.001 0.0005
362 'Exp_60_57_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 2300 0.001 0.0005
363 'Exp_60_57_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
364 'Exp_60_57_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
365 'Exp_60_58_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
366 'Exp_60_58_C001H001S0001' 35.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
367 'Exp_60_58_C001H001S0001' 35.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
368 'Exp_60_58_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 1100 0.001 0.0005
369 'Exp_60_58_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 2300 0.001 0.0005
370 'Exp_60_58_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
371 'Exp_60_58_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
372 'Exp_60_59_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
373 'Exp_60_59_C001H001S0001' 35.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
374 'Exp_60_59_C001H001S0001' 35.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
375 'Exp_60_59_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 1100 0.001 0.0005
376 'Exp_60_59_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 2300 0.001 0.0005
377 'Exp_60_59_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
378 'Exp_60_59_C001H001S0001' 35.6 63.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
379 'Exp_60_60_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 1700.0 0.001 0.0005
380 'Exp_60_60_C001H001S0001' 33.6 63.5 1.570796325 1600000.0 1700.0 0.001 0.0005
381 'Exp_60_60_C001H001S0001' 33.6 63.5 1.570796325 3800000.0 1700.0 0.001 0.0005
382 'Exp_60_60_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 1100 0.001 0.0005
383 'Exp_60_60_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 2300 0.001 0.0005
384 'Exp_60_60_C001H001S0001' 33.6 63.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
