ID file_name x_pos z_pos brush_orien young density root_radius radii_diff 
1 'Exp_60_01_C001H001S0001' 41.1 80.0 0.0 2700000.0 1700.0 0.001 0.0005
2 'Exp_60_01_C001H001S0001' 41.1 80.0 0.0 1600000.0 1700.0 0.001 0.0005
3 'Exp_60_01_C001H001S0001' 41.1 80.0 0.0 3800000.0 1700.0 0.001 0.0005
4 'Exp_60_01_C001H001S0001' 41.1 80.0 0.0 2700000.0 1100 0.001 0.0005
5 'Exp_60_01_C001H001S0001' 41.1 80.0 0.0 2700000.0 2300 0.001 0.0005
6 'Exp_60_01_C001H001S0001' 41.1 80.0 0.0 2700000.0 1700.0 0.0009 0.0006
7 'Exp_60_01_C001H001S0001' 41.1 80.0 0.0 2700000.0 1700.0 0.0011 0.0004
8 'Exp_60_02_C001H001S0001' 41.1 80.0 0.0 2700000.0 1700.0 0.001 0.0005
9 'Exp_60_02_C001H001S0001' 41.1 80.0 0.0 1600000.0 1700.0 0.001 0.0005
10 'Exp_60_02_C001H001S0001' 41.1 80.0 0.0 3800000.0 1700.0 0.001 0.0005
11 'Exp_60_02_C001H001S0001' 41.1 80.0 0.0 2700000.0 1100 0.001 0.0005
12 'Exp_60_02_C001H001S0001' 41.1 80.0 0.0 2700000.0 2300 0.001 0.0005
13 'Exp_60_02_C001H001S0001' 41.1 80.0 0.0 2700000.0 1700.0 0.0009 0.0006
14 'Exp_60_02_C001H001S0001' 41.1 80.0 0.0 2700000.0 1700.0 0.0011 0.0004
15 'Exp_60_03_C001H001S0001' 39.1 80.0 0.0 2700000.0 1700.0 0.001 0.0005
16 'Exp_60_03_C001H001S0001' 39.1 80.0 0.0 1600000.0 1700.0 0.001 0.0005
17 'Exp_60_03_C001H001S0001' 39.1 80.0 0.0 3800000.0 1700.0 0.001 0.0005
18 'Exp_60_03_C001H001S0001' 39.1 80.0 0.0 2700000.0 1100 0.001 0.0005
19 'Exp_60_03_C001H001S0001' 39.1 80.0 0.0 2700000.0 2300 0.001 0.0005
20 'Exp_60_03_C001H001S0001' 39.1 80.0 0.0 2700000.0 1700.0 0.0009 0.0006
21 'Exp_60_03_C001H001S0001' 39.1 80.0 0.0 2700000.0 1700.0 0.0011 0.0004
22 'Exp_60_04_C001H001S0001' 39.1 80.0 0.0 2700000.0 1700.0 0.001 0.0005
23 'Exp_60_04_C001H001S0001' 39.1 80.0 0.0 1600000.0 1700.0 0.001 0.0005
24 'Exp_60_04_C001H001S0001' 39.1 80.0 0.0 3800000.0 1700.0 0.001 0.0005
25 'Exp_60_04_C001H001S0001' 39.1 80.0 0.0 2700000.0 1100 0.001 0.0005
26 'Exp_60_04_C001H001S0001' 39.1 80.0 0.0 2700000.0 2300 0.001 0.0005
27 'Exp_60_04_C001H001S0001' 39.1 80.0 0.0 2700000.0 1700.0 0.0009 0.0006
28 'Exp_60_04_C001H001S0001' 39.1 80.0 0.0 2700000.0 1700.0 0.0011 0.0004
29 'Exp_60_05_C001H001S0001' 37.1 80.0 0.0 2700000.0 1700.0 0.001 0.0005
30 'Exp_60_05_C001H001S0001' 37.1 80.0 0.0 1600000.0 1700.0 0.001 0.0005
31 'Exp_60_05_C001H001S0001' 37.1 80.0 0.0 3800000.0 1700.0 0.001 0.0005
32 'Exp_60_05_C001H001S0001' 37.1 80.0 0.0 2700000.0 1100 0.001 0.0005
