ID file_name x_pos z_pos brush_orien young density root_radius radii_diff 
257 'EXP_60_42_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 2300 0.001 0.0005
258 'EXP_60_42_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
259 'EXP_60_42_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
260 'EXP_60_43_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 1700.0 0.001 0.0005
261 'EXP_60_43_C001H001S0001' 35.3 73.5 1.570796325 1600000.0 1700.0 0.001 0.0005
262 'EXP_60_43_C001H001S0001' 35.3 73.5 1.570796325 3800000.0 1700.0 0.001 0.0005
263 'EXP_60_43_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 1100 0.001 0.0005
264 'EXP_60_43_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 2300 0.001 0.0005
265 'EXP_60_43_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
266 'EXP_60_43_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
267 'EXP_60_44_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 1700.0 0.001 0.0005
268 'EXP_60_44_C001H001S0001' 35.3 73.5 1.570796325 1600000.0 1700.0 0.001 0.0005
269 'EXP_60_44_C001H001S0001' 35.3 73.5 1.570796325 3800000.0 1700.0 0.001 0.0005
270 'EXP_60_44_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 1100 0.001 0.0005
271 'EXP_60_44_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 2300 0.001 0.0005
272 'EXP_60_44_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
273 'EXP_60_44_C001H001S0001' 35.3 73.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
274 'EXP_60_45_C001H001S0001' 33.3 73.5 1.570796325 2700000.0 1700.0 0.001 0.0005
275 'EXP_60_45_C001H001S0001' 33.3 73.5 1.570796325 1600000.0 1700.0 0.001 0.0005
276 'EXP_60_45_C001H001S0001' 33.3 73.5 1.570796325 3800000.0 1700.0 0.001 0.0005
277 'EXP_60_45_C001H001S0001' 33.3 73.5 1.570796325 2700000.0 1100 0.001 0.0005
278 'EXP_60_45_C001H001S0001' 33.3 73.5 1.570796325 2700000.0 2300 0.001 0.0005
279 'EXP_60_45_C001H001S0001' 33.3 73.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
280 'EXP_60_45_C001H001S0001' 33.3 73.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
281 'EXP_60_46_C001H001S0001' 33.3 73.5 1.570796325 2700000.0 1700.0 0.001 0.0005
282 'EXP_60_46_C001H001S0001' 33.3 73.5 1.570796325 1600000.0 1700.0 0.001 0.0005
283 'EXP_60_46_C001H001S0001' 33.3 73.5 1.570796325 3800000.0 1700.0 0.001 0.0005
284 'EXP_60_46_C001H001S0001' 33.3 73.5 1.570796325 2700000.0 1100 0.001 0.0005
285 'EXP_60_46_C001H001S0001' 33.3 73.5 1.570796325 2700000.0 2300 0.001 0.0005
286 'EXP_60_46_C001H001S0001' 33.3 73.5 1.570796325 2700000.0 1700.0 0.0009 0.0006
287 'EXP_60_46_C001H001S0001' 33.3 73.5 1.570796325 2700000.0 1700.0 0.0011 0.0004
288 'EXP_60_47_C001H001S0001' 33.3 73.5 1.570796325 2700000.0 1700.0 0.001 0.0005
